管制人員：地政總署署長會交代本總目下的開支。 二Ｏ一一至一二年度預算,18.101,
三月三十一日預算設有的 3 836 個非首長級職位，增至二Ｏ一二年三月三十一日的3863個，增幅為27個。,12.440,
土地批售 小型屋宇(處理宗數),2300,2709,2768,2300
收到申請書後 3 個星期內發出 覆函(%),100,96,100,100
數額)建議書／否決通知書／ 表明原則上同意覆函(%),100,99,98,100
12 個星期內發出法律文件供 簽立(%),100,99,99,100
起計 4 個星期內按照特惠率作出補償建議(%),100,100,100,100
4 個星期內備妥補償金支票待領(新界農地個案)(%),100,100,100,100
土地復歸政府後 3 個星期內作出補償建議或告知可提出申索(%),100,100,99,100
土地批售 批售土地(公頃),187.78166.73,
賣地計劃 出售土地(拍賣及招標)(公頃),4.64,15.25,
單位數目,1488,5836,
批出土地(公頃),177.23147.18,27.00,
單位數目,1480,1328,11900,
個案數目,120139,150,
單位數目,867,11284,9800,
審理原居村民的租金優惠申請(地段／物業數目),1071,1122,1000,
土地徵用 工務計劃工程項目(公頃),7.85,3.87,22.84,
鐵路發展計劃(公頃),0.04,47.18,6.57,
市區重建工程項目(物業權益數目),26115,1715,
鄉郊規劃及改善策略／鄉村改善(公頃),0.00,1.03,0.25,
收地／清理土地費用總額(百萬元),415.2,1349.0,1192.0,
土地管理 執行契約條款個案數目,891904,900,
重建臨時住宅搭建物數目,48,56,55,
已清理及派員看守的政府土地數目,5486,7022,7020,
未撥用及未批租政府土地上的斜坡保養 須勘測的人造斜坡數目,11350,10810,11350,
須維修或改善的人造斜坡數目,6750,6660,6500,
採取非發展性清拆行動拆卸搭建物(搭建物數目),61,60,60,
臨時使用政府土地 臨時撥地予政府部門(公頃),753.9853.0900.0,
招標承投的短期租約(公頃),79.17,46.86,50.00,
直接批出的短期租約(公頃),32.3,95.9125.0,
物業管理 所管理的物業／單位數目,251249,242,
為政府物業發出的維修單數目,118105,105,
出售政府物業數目,8,10,10,
寮屋管制及清拆 已清拆的違例搭建物,194319,320,
已視察的已登記搭建物,199902,196866,199800,
已申請租住公共房屋的寮屋居民佔用的已登記搭建物的清拆前凍結登記行動宗數,505214,210,
因既定的寮屋清拆計劃或緊急清拆計劃而清拆的搭建物,1211,2300,1700,
接獲要求後 12 個星期內劃定土地界線(%),100,99,98,100
接獲要求後 1 個工作天內提供地圖及大地測量資料(%),100,100,100,100
星期內按最新資料修訂大比例 地圖(%),100,100,100,100
大地測量 定出準確的平面及高程控制點數目,976915,900,
設置及維修測量標石及標誌數目,4163,4385,4200,
地形測量及製圖 不斷修訂、測量及查核地區(公頃),78459,74361,72000,
製作地圖及圖表數目,8377,8177,8200,
提供攝製服務(份數),452065,438737,420000,
地籍測量 測定或劃定地段數目,2427,2769,2700,
製備地籍圖數目,37804,42867,44000,
航空測量 為量度及記錄用途拍攝的照片數目,9277,11184,9500,
進行攝影測量總面積(公頃),30840,31012,31000,
《土地測量條例》 審核地段分割圖則總數,1932,2043,1900,
時間)(%),100,100,100,100
公共契約－在 13 個星期內 批核(%),100,100,98,100
－非住宅樓宇,8,5,4,
－住宅樓宇,24,15,18,
預售未建成的住宅樓宇單位(單位數目),11671,6694,7500,
已批核的公共契約 －非住宅樓宇,2,2,2,
－住宅樓宇,47,47,25,
綱領 (1)土地行政,1251.3,1319.8,1266.3,1326.5
(2)測量及繪圖,408.6,418.1,417.4,427.1
(3)法律諮詢,51.0,55.5,53.3,56.5
    經常開支 000運作開支,1708487,1783750,1734143,1804469,
003  可收回的薪金及津貼 (一般),23651
減去發還款項,23651,
221  政府土地清拆工作－特惠 津貼,267,7295660,3443,
    ——————— ——————— ——————— ——————— 經常開支總額,1708754,1791045,1734803,1807912,
    非經常開支 一般非經常開支,497,
    ——————— ——————— ——————— ——————— 非經常開支總額,497,
    ——————— ——————— ——————— ——————— 經營帳目總額,1709251,1791045,1734803,1807912,
撥款),1684,2310,2245,2155,
  機器、設備及工程開支 總額,1684,2310,2245,2155,
    ——————— ——————— ——————— ——————— 非經營帳目總額,1684,2310,2245,2155,
    ——————— ——————— ——————— ——————— 開支總額,1710935,1793355,1737048,1810067,
－薪金,1360695,1388636,1363794,1390713
－津貼,12466,15588,13337,15951
－工作相關津貼,1958,2324,2164,2337
－強制性公積金供款,2750,3662,3095,3088
－公務員公積金供款,837,902,2807,7400
－僱用服務及專業費用,38146,54113,41620,63035
－合約維修工作,154653,163825,162987,175512
－一般部門開支,136982,154685,144339,146418
－ 財政司司長法團－暫記帳 調整,15,
