管制人員：地政總署署長會交代本總目下的開支。 二Ｏ一三至一四年度預算,20.716,
三月三十一日預算設有的 3  898 個非首長級職位，增至二Ｏ一四年三月三十一日的3924個，增幅為26個。,14.202,
土地批售 小型屋宇(處理宗數),2300,2416,2403,2300
收到申請書後 3 個星期內發出 覆函(%),100,100,100,100
數額)建議書／否決通知書／ 表明原則上同意覆函(%),100,97,98,100
12 個星期內發出法律文件供 簽立(%),100,100,100,100
起計 4 個星期內按照特惠率作出補償建議(%),100,100,100,100
4 個星期內備妥補償金支票待領(新界農地個案)(%),100,100,100,100
土地復歸政府後 3 個星期內作出補償建議或告知可提出申索(%),100,100,100,100
土地批售 批售土地(公頃),40.70,43.28,
賣地計劃 出售土地(拍賣及招標)(公頃),25.90,29.66,
單位數目,6705,6478,
批出土地(公頃),4.50,4.51,19.00,
單位數目,477,1508,7800,
個案數目,101119,105,
單位數目,6387,6864,6900,
審理原居村民的租金優惠申請(地段／物業數目),1050,1035,1000,
土地徵用 工務計劃工程項目(公頃),2.33,55.88,26.70,
鐵路發展計劃(公頃),3.91,2.53,0.01,
市區重建工程項目(物業權益數目),625,1191,348,
鄉郊規劃及改善策略／鄉村改善(公頃),0,0,0.13,
收地／清理土地費用總額(百萬元),549.3718.5,3801.8,
土地管理 執行契約條款個案數目,939962,940,
重建臨時住宅搭建物數目,46,77,16,
已清理被不合法佔用的政府土地數目Ω,6909,8154,8000,
清理所管理的地點數目#,812910,910,
未撥用及未批租政府土地上的斜坡保養 須勘測的人造斜坡數目,11285,11720,11900,
須維修或改善的人造斜坡數目,6650,6820,6900,
採取非發展性清拆行動拆卸搭建物(搭建物數目),51,13,50,
臨時撥地予政府部門(公頃),866.00878.43906.96,
簽發短期租約¶ 招標承投的短期租約(公頃),48.93,49.67,52.00,
直接批出的短期租約(公頃),152.00,89.47,66.64,
物業管理 所管理的物業／單位數目,242237,233,
為政府物業發出的維修單數目,105105,105,
出售政府物業數目,13,16,16,
寮屋管制及清拆 已清拆的違例搭建物,364372,364,
已視察的已登記搭建物,200383,200416,200383,
已申請租住公共房屋的寮屋居民佔用的已登記 搭建物的清拆前凍結登記行動宗數,116,85,80,
因既定的寮屋清拆計劃或緊急清拆計劃而清拆的 搭建物,1000,679,2700,
接獲要求後 12 個星期內劃定 土地界線(%),100,94,99,100
接獲要求後 1 個工作天內提供地圖及大地測量資料(%),100,100,100,100
內按最新資料修訂大比例 地圖(%),100,100,100,100
大地測量 定出準確的平面及高程控制點數目,879914,900,
設置及維修測量標石及標誌數目,4386,4318,4400,
地形測量及製圖 不斷修訂、測量及查核地區(公頃),71115,66366,68000,
製作地圖及圖表數目,8313,8188,8200,
提供攝製服務(份數),407213,425005,420000,
地籍測量 測定或劃定地段數目,2434,2477,2500,
製備地籍圖數目,52350,61266,61000,
航空測量 為量度及記錄用途拍攝的照片數目,9541,10022,9500,
進行攝影測量總面積(公頃),29982,30465,31000,
《土地測量條例》 審核地段分割圖則總數,2164,2012,2000,
時間)(%),100,100,100,100
公共契約－在 13 個星期內 批核(%),100,100,100,100
－非住宅樓宇,7,2,5,
－住宅樓宇,16,19,24,
預售未建成的住宅樓宇單位(單位數目),9112,12246,14000,
已批核的公共契約 －非住宅樓宇,7,6,4,
－住宅樓宇,16,25,30,
綱領 (1)土地行政,1350.1,1426.2,1471.7,1525.2
(2)測量及繪圖,444.3,456.2,476.8,482.2
(3)法律諮詢,55.3,61.5,61.1,64.2
    經常開支 000運作開支,1847060,1937684,2007952,2064597,
003  可收回的薪金及津貼 (一般),28074,
減去發還款項,28074,
221  政府土地清拆工作－ 特惠津貼,472,4354,211,4924,
    ———————  ———————  ———————  ———————  經常開支總額,1847532,1942038,2008163,2069521,
    ———————  ———————  ———————  ———————  經營帳目總額,1847532,1942038,2008163,2069521,
撥款),2151,1871,1480,2081,
  機器、設備及工程開支 總額,2151,1871,1480,2081,
    ———————  ———————  ———————  ———————  非經營帳目總額,2151,1871,1480,2081,
    ———————  ———————  ———————  ———————  開支總額,1849683,1943909,2009643,2071602,
－薪金,1457051,1491709,1557452,1587426
－津貼,11403,13667,13055,14337
－工作相關津貼,2178,2512,2459,2647
－強制性公積金供款,2920,3302,3310,3976
－公務員公積金供款,9007,15245,16779,22082
－僱用服務及專業費用,47345,74115,63061,79458
－合約維修工作,182856,189320,204354,195500
－一般部門開支,134300,147799,147467,159156
－ 財政司司長法團－暫記帳 調整,15,15,15,
