管制人員：地政總署署長會交代本總目下的開支。 二Ｏ一二至一三年度預算,19.439,
三月三十一日預算設有的 3 867 個非首長級職位，增至二Ｏ一三年三月三十一日的3890個，增幅為23個。,13.329,
土地批售 小型屋宇(處理宗數),2300,2768,2416,2300
收到申請書後 3 個星期內發出 覆函(%),100,100,100,100
數額)建議書／否決通知書／ 表明原則上同意覆函(%),100,98,97,100
12 個星期內發出法律文件供 簽立(%),100,99,100,100
起計 4 個星期內按照特惠率作出補償建議(%),100,100,100,100
4 個星期內備妥補償金支票待領(新界農地個案)(%),100,100,100,100
土地批售 批售土地(公頃),166.73,40.70,
賣地計劃 出售土地(拍賣及招標)(公頃),15.25,25.90,
單位數目,5836,6705,
批出土地(公頃),147.18,4.50
單位數目,1328,477
個案數目,139101,95,
單位數目,11284,6387,12200,
審理原居村民的租金優惠申請(地段／物業數目),1122,1050,1000,
土地徵用 工務計劃工程項目(公頃),3.87,2.33,64.48,
鐵路發展計劃(公頃),47.18,3.91,2.66,
市區重建工程項目(物業權益數目),115625,1209,
鄉郊規劃及改善策略／鄉村改善(公頃),1.03,0.00,0.27,
收地／清理土地費用總額(百萬元),1349.0549.3,1243.0,
土地管理 執行契約條款個案數目,904939,940,
重建臨時住宅搭建物數目,56,46,44,
已清理及派員看守的政府土地數目,7022,6909,6900,
未撥用及未批租政府土地上的斜坡保養 須勘測的人造斜坡數目,10810,11285,11350,
須維修或改善的人造斜坡數目,6660,6650,6600,
採取非發展性清拆行動拆卸搭建物(搭建物數目),60,51,50,
臨時使用政府土地 臨時撥地予政府部門(公頃),853866,834,
招標承投的短期租約(公頃),46.86,48.93,66.00,
直接批出的短期租約(公頃),95.9152.0,51.0,
物業管理 所管理的物業／單位數目,249242,237,
為政府物業發出的維修單數目,105105,105,
出售政府物業數目,10,13,13,
寮屋管制及清拆 已清拆的違例搭建物,319364,320,
已視察的已登記搭建物,196866,200383,199800,
已申請租住公共房屋的寮屋居民佔用的已登記搭建物的清拆前凍結登記行動宗數,214116,120,
因既定的寮屋清拆計劃或緊急清拆計劃而清拆的搭建物,2300,1000,2300,
接獲要求後 12 個星期內劃定土地界線(%),100,98,94,100
接獲要求後 1 個工作天內提供地圖及大地測量資料(%),100,100,100,100
星期內按最新資料修訂大比例 地圖(%),100,100,100,100
大地測量 定出準確的平面及高程控制點數目,915879,900,
設置及維修測量標石及標誌數目,4385,4386,4300,
地形測量及製圖 不斷修訂、測量及查核地區(公頃),74361,71115,71000,
製作地圖及圖表數目,8177,8313,8200,
提供攝製服務(份數),438737,407213,400000,
地籍測量 測定或劃定地段數目,2769,2434,2500,
製備地籍圖數目,42867,52350,52000,
航空測量 為量度及記錄用途拍攝的照片數目,11184,9541,9500,
進行攝影測量總面積(公頃),31012,29982,31000,
《土地測量條例》 審核地段分割圖則總數,2043,2164,2000,
時間)(%),100,100,100,100
公共契約－在 13 個星期內 批核(%),100,98,100,100
－非住宅樓宇,5,7,4,
－住宅樓宇,15,16,20,
預售未建成的住宅樓宇單位(單位數目),6694,9112,10000,
已批核的公共契約 －非住宅樓宇,2,7,4,
－住宅樓宇,47,16,24,
綱領 (1)土地行政,1262.6,1326.5,1369.5,1426.2
(2)測量及繪圖,416.0,427.1,449.6,456.2
(3)法律諮詢,51.7,56.5,57.1,61.5
    經常開支 000運作開支,1727941,1804469,1873667,1937684,
003  可收回的薪金及津貼 (一般),26787
減去發還款項,26787,
221  政府土地清拆工作－特惠 津貼,631,3443404,4354,
    ——————— ——————— ——————— ——————— 經常開支總額,1728572,1807912,1874071,1942038,
    ——————— ——————— ——————— ——————— 經營帳目總額,1728572,1807912,1874071,1942038,
撥款),1775,2155,2155,1871,
  機器、設備及工程開支 總額,1775,2155,2155,1871,
    ——————— ——————— ——————— ——————— 非經營帳目總額,1775,2155,2155,1871,
    ——————— ——————— ——————— ——————— 開支總額,1730347,1810067,1876226,1943909,
－薪金,1362253,1390713,1462783,1491709
－津貼,13093,15951,13420,13667
－工作相關津貼,1977,2337,2300,2512
－強制性公積金供款,3005,3088,3123,3302
－公務員公積金供款,2853,7400,8999,15245
－僱用服務及專業費用,41062,63035,52503,74115
－合約維修工作,160952,175512,189270,189320
－一般部門開支,142746,146418,141269,147799
－ 財政司司長法團─暫記帳 調整,15,,
