管制人員：行政長官辦公室常任秘書長會交代本總目下的開支。 二ＯＯ七至Ｏ八年度預算,7460,
年三月三十一日及二ＯＯ八年三月三十一日預算設有的92個非首長級職位。,2620,
綱領 (1)行政長官辦公室,48.1,55.5,53.7,57.5
(2)行政會議,13.2,16.8,16.9,17.1
    經常開支 000運作開支,61316,72296,70584,74629,
    ——————— ——————— ——————— ——————— 經常開支總額,61316,72296,70584,74629,
    ——————— ——————— ——————— ——————— 經營帳總額,61316,72296,70584,74629,
    ——————— ——————— ——————— ——————— 開支總額,61316,72296,70584,74629,
－薪金,34207,38153,37054,39455
－津貼,2247,2150,2148,2114
－與工作有關連津貼,13,8,13,
－強制性公積金供款,31,24,36,19
－公務員公積金供款,51,
－就特別委任而支付的酬金,5012,7628,7550,9220
－一般部門開支,12947,14184,13548,13421
－行政會議非官守成員酬金,6872,10144,10240,10336
