管制人員：地政總署署長會交代本總目下的開支。 二零一四至一五年度預算,21.621,
三月三十一日預算設有的 3 929 個非首長級職位，增至二零一五年三月三十一日的4030個，增幅為101個。,15.181,
土地批售 小型屋宇(處理宗數),2300,2403,2354,2300
收到申請書後 3 個星期內發出 覆函(%),100,100,99,100
數額)建議書／否決通知書／ 表明原則上同意覆函(%),100,98,98,100
後 12 個星期內發出法律文件 供簽立(%),100,100,100,100
起計 4 個星期內按照特惠率 作出補償建議(%),100,100,100,100
後 4 個星期內備妥補償金支票 待領(新界農地個案)(%),100,100,99,100
土地復歸政府後 3 個星期內作出補償 建議或告知可提出申索(%),100,100,100,100
土地批售 批售土地(公頃),43.28,44.50,
賣地計劃 出售土地(拍賣及招標)(公頃),29.66,38.41,
單位數目,6478,8819,
批出土地(公頃),4.51,3.85,
單位數目,1508,1637,
個案數目,119,91,
單位數目,6864,929,
審理原居村民的租金優惠申請(地段／物業數目),1035,1636,1600,
土地徵用 工務計劃工程項目(公頃),55.88,3.90,21.29,
鐵路發展計劃(公頃),2.53,0.01,1.10,
市區重建工程項目(物業權益數目),1191,399508,
鄉郊規劃及改善策略／鄉村改善(公頃),0,0.13,0.71,
收地／清理土地費用總額(百萬元),718.5,2604.2,2921.6,
土地管理 執行契約條款個案數目,962969,940,
重建臨時住宅搭建物數目,77,30,11,
已清理被不合法佔用的政府土地數目,8154,7358,7500,
清理所管理的地點數目,910,1038,1038,
未撥用及未批租政府土地上的斜坡保養 須勘測的人造斜坡數目,11720,12105,12200,
須維修或改善的人造斜坡數目,6820,7120,7150,
以斜坡安全為理由而清拆的已登記搭建物 (搭建物數目)˄,13,14,50,
批出臨時撥地予政府部門(公頃)#,69.46,83.10,57.10,
簽發短期租約 招標承投的短期租約(公頃),49.67,42.24,20.00,
直接批出的短期租約(公頃),89.47,32.70,25.90,
物業管理 所管理的物業／單位數目,237233,157,
為政府物業發出的維修單數目,105105,105,
出售政府物業數目,16,16,15,
寮屋管制及清拆 已清拆的違例搭建物,372259,254,
已視察的已登記搭建物,200416,197202,200183,
已申請租住公共房屋的寮屋居民佔用的已登記 搭建物的清拆前凍結登記行動宗數¶,85,9,
已登記搭建物)‡,679812,3834,
接獲要求後 12 個星期內劃定 土地界線(%),100,99,99,100
接獲要求後 1 個工作天內提供地圖及大地測量資料(%),100,100,100,100
內按最新資料修訂大比例 地圖(%),100,100,100,100
大地測量 定出準確的平面及高程控制點數目,914,1672,900,
設置及維修測量標石及標誌數目,4318,4410,4400,
地形測量及製圖 不斷修訂、測量及查核地區(公頃),66366,61945,64000,
製作地圖及圖表數目,8188,8732,8260,
提供攝製服務(份數),425005,423057,410000,
地籍測量 測定或劃定地段數目,2477,2161,2080,
製備地籍圖數目,61266,67247,70000,
航空測量 為量度及記錄用途拍攝的照片數目,10022,12850,9500,
進行攝影測量總面積(公頃),30465,30800,31000,
《土地測量條例》 審核地段分割圖則總數,2012,1774,1850,
時間)(%),100,100,100,100
公契－在13個星期內批核(%),100,100,100,100
－非住宅樓宇,2,7,5,
－住宅樓宇,19,20,24,
預售未建成的住宅樓宇單位(單位數目),12246,10884,12500,
已批核的公契 －非住宅樓宇,6,3,6,
－住宅樓宇,25,23,27,
綱領 (1)土地行政,1460.4,1525.2,1525.8,1593.9,
(2)測量及繪圖,470.6,482.2,496.0,500.5,
(3)法律諮詢,61.0,64.2,63.0,67.7,
(一般),28714,,,
003  可收回的薪金及津貼 減去發還款項,28714,,
