管制人員：  二ＯＯ六至Ｏ七年度預算,16.061,
三月三十一日預算設有的 3 297 個非首長級職位，增至二ＯＯ七年三月三十一日的3697個，增幅為400個。,10.596,
土地批售 小型屋宇(處理宗數),2300,2178,2310,2300
收到申請書後 3 個星期內覆信的百分率,100
數額)建議書／否決通知書／表明原則上同意覆函的百分率,100
個星期內發出法律文件供簽立的百分率,100
起計 4 個星期內按照特惠率作出補償建議的百分率,100
4 個星期內備妥補償金支票待領的百分率(新界農地個案),100
償建議或告知可提出申索的百分率,100
土地批售 批售土地(公頃),32.32250.93,
出售土地(拍賣及招標)(公頃),7.25,3.77,
單位數目,5367,2220,
私人協約方式批地 批出土地(公頃),20.91242.12,32.00
單位數目,2552,4624,13824
以短期租約方式出租土地(公頃),54.75,77.80,60.00
個案數目,123,90100
單位數目,7626,6152,8000
審理原居村民的租金優惠申請(地段／物業數目),7699,5362,7500
土地徵用 工務計劃工程項目(公頃),7.44,2.59,17.00
鐵路發展計劃(公頃),1.14,0.05
市區重建工程項目(物業權益數目),161937,360
鄉郊規劃及改善策略／鄉村改善(公頃),0.98,,2.00
收地／清理土地費用總額(百萬元),620423,706
土地管理 執行契約條款個案數目,810885,1080
重建臨時住宅搭建物數目,71,70,70
已清理及派員看守的政府地盤數目,3411,4565,5100
須勘測的人造斜坡數目,9100,9000,9100
須維修或改善的人造斜坡數目,5250,6700,6500
目)β,139100,120
物業管理 所管理的物業／單位數目,307295,285
為政府物業發出的維修單數目,102103,103
出售政府物業數目,15,15,15
寮屋管制及清拆@ 已清拆的違例搭建物,602
已視察的已登記搭建物,180528
已申請租住公屋的寮屋居民佔用的已登記搭建物的清拆前凍結登記行動宗數,1381
建物,470
接獲要求後 12 個星期內劃定土地界線的百分率,100
接獲要求後 3 個工作日內提供繪圖及大地測量資料的百分率,100
按最新資料修訂大比例圖則的百分率,100
大地測量 定出準確的平面及高程控制點數目,735,1205,900
設置及維修測量標石及標誌數目,4815,4124,4150
地形測量及製圖 不斷修訂、測量及查核地區(公頃),79792,81321,82000
製作地圖及圖表數目,4480,6398,6870
提供攝製服務(份數),493538,459757,460000
地籍測量 測定或劃定地段數目,2110,2387,2150
製備地籍圖數目,26587,30320,30500
航空測量 為量度及記錄用途拍攝的照片數目,8573,10837,8710
進行攝影測量總面積(公頃),30225,30751,31000
土地測量條例 審核地段分割圖則總數,669777,690
需時間),100
公共契約－在 13 個星期內批核的百分率,100
－非住宅樓宇,6,11,8
－住宅樓宇,30,26,30
預售未建成的住宅樓宇單位(單位數目),19274,10102,15000
已批核的公共契約 －非住宅樓宇,6,3,5
－住宅樓宇,41,34,50
綱領 (1)土地行政,1004.2,1009.7985.7,1178.4
(2)測量及繪圖,365.1352.8360.6376.9
(3)法律諮詢,48.1,46.9,44.7,50.8
    經常開支 000運作開支,1408955,1392954,1381076,1592982
003  可收回的薪金及津貼 (一般),29933
減去發還款項,29933,
221  政府土地清拆工作─特惠 津貼,788,10395,5847,6200
    ——————— ——————— ——————— ———————經常開支總額,1409743,1403349,1386923,1599182
    非經常開支 700一般非經常開支,5272,4700,2300,5095
清理新界黑點(整體撥款),65,
    ——————— ——————— ——————— ———————非經常開支總額,5337,4700,2300,5095
    ——————— ——————— ——————— ———————經營帳總額,1415080,1408049,1389223,1604277
    機器、設備及工程 600工程,1379830,717900
撥款),895545,1095885
  機器、設備及工程開支總額,2274,1375,1812,1785
    ——————— ——————— ——————— ———————資本帳總額,2274,1375,1812,1785
    ——————— ——————— ——————— ———————開支總額,1417354,1409424,1391035,1606062
－薪金,1185605,1153766,1127317,1277795
－津貼,9974,10851,9100,10589
－與工作有關連津貼,1903,1978,1869,2156
與員工有關連的開支 －強制性公積金供款,1463,1494,1425,1425
部門開支 －僱用服務及專業費用,16223,25175,18623,22870
－合約維修工作,112461124567123922125872
－一般部門開支,81326,75108,98805152260
－ 財政司司長法團─暫記帳 調整,15,15,15
修責任研究」以鑑辨已登記的人造斜坡的維修責任,7500105,2300,5095
600     256清拆掃桿埔平房區,9040,7609400,1031
257清拆摩星嶺平房區,6750,6181317,252
      ——————— ——————— ———————  ———————總額,23290,13895,3017,6378
