"獎券基金收入","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"六合彩獎券","962","1208","1172","1159","1252","1311"
"車牌拍賣的收入淨額","74","62","77","77","68","63"
"投資收入","500","514","530","518","0","1202"
"捐款","2","33","1","3","64","10"
"補助金退款","0","0","0","0","0","0"
