"支出","總目(編號)","總目","核准項目
預算
(整體撥款除外)
$’000","截至31.3.2014止
的實際開支
(整體撥款除外)
$’000","2014–15
修訂預算
(包括整體撥款)
$’000","2015–16
預算
(包括整體撥款)
$’000"
"土地徵用","701","土地徵用","4541490","2969986","1366827","2340680"
"工務計劃","702","港口及機場發展","2931000","2865909","2367","2342"
"工務計劃","703","建築物","50518490","29521727","7508819","7322683"
"工務計劃","704","渠務","53983700","33844430","5019605","4095722"
"工務計劃","705","土木工程","49364800","19020492","4325954","6040503"
"工務計劃","706","公路","345301500","124682403","37244184","38020745"
"工務計劃","707","新市鎮及市區發展","34086410","19879412","2960231","2731258"
"工務計劃","709","水務","32758590","17306348","4476915","4499614"
"工務計劃","711","房屋","7424600","4672698","644598","577104"
"非經常資助金及主要系統設備","708(部分)","非經常資助金","54973892","24358173","5311351","6718315"
"非經常資助金及主要系統設備","708(部分)","主要系統設備","7403830","2792560","518597","1184383"
"電腦化計劃","710","電腦化計劃","9281191","3709904","1559228","1762221"
"在二零零四年七月發行的政府債券及票據","","償還款項","0","0","9687794","0"
"在二零零四年七月發行的政府債券及票據","","利息及其他開支","0","0","325138","77302"
