"債券基金收入","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"經投標或認購方式所發行債券的所得收入","29261","28160","30094","29413","29500"
"在債券轉換投標安排下發行債券的收入","0","0","0","719","800"
"在債券互換安排下發行債券的收入","0","0","41","1000","1000"
"發行另類債券的所得收入","0","0","0","7751","7800"
"投資收入","2124","3381","4185","3778","6269"
