"貸款基金開支(貸款)","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"房屋","156","94","180","109","228","265"
"給予學校／教師的貸款","1","213","227","1847","850","154"
"給予學生的貸款","1744","1662","1814","1936","1902","2084"
"勞工","0","0","0","0","0","0"
"漁農礦產","32","41","35","98","187","135"
"樓宇安全","54","51","48","54","71","78"
"旅遊業","0","0","0","100","270","1920"
"中小型企業","0","0","0","0","0","0"
"額外承擔","0","0","0","0","0","650"
