"收入","2013-14實際收入
$’000","2014–15修訂預算
$’000","2015–16預算
$’000"
"投資收入","113887","1336","37000"
"從項目所獲得的收入淨額","8424","11860","8515"
"補助金退款","42829","27927","0"
