"創新及科技基金","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"期初結餘","3749","3272","2857","2379","1812","971"
"收入","272","240","214","165","41","45"
"開支","749","655","692","732","882","1014"
"盈餘／(赤字)","-477","-415","-478","-567","-841","-969"
"期末結餘","3272","2857","2379","1812","971","2"
