"貸款基金收入","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"償還的貸款","1728","1898","1779","2210","2030","2072"
"貸款利息","233","238","195","161","103","140"
"過期償還貸款的附加費","3","3","3","3","4","4"
"投資收入","120","132","136","122","0","88"
"出售貸款所得的款項","154","118","127","151","108","216"
