year,head_no,actual,approved,revised,estimate
2007,169,,,5652,11092
2007,170,32542905,34278034,32838081,34089366
2007,173,3090668,3850280,3717652,3758681
2007,174,10441,8650,8169,13446
2007,180,82360,96272,93082,95428
2007,181,699971,689654,447546,490627
2007,184,4028400,3516400,416400,1616800
2007,186,816126,882731,844940,947050
2007,188,303347,333041,307777,322808
2007,190,12394766,11320070,12201482,11170250
2007,194,5107271,5116893,5070313,5079074
2007,,27941721,28272564,28460982,
2008,21,69841,74629,78015,79145
2008,22,996218,1439358,1488624,897545
2008,23,57999,59227,59907,63633
2008,24,111351,113092,115004,119263
2008,25,1358840,1361087,1399328,1432348
2008,26,494716,475211,455046,484715
2008,27,71725,73739,74581,80831
2008,28,580632,626432,615810,677479
2008,30,2357031,2415644,2478487,2539155
2008,31,1853004,2127362,2082698,2308147
2008,33,1043919,1306412,1282695,1431120
2008,37,2962855,3077573,3108150,3344211
2008,39,1553467,1585648,1615536,1638608
2008,42,293754,287276,295677,309160
2008,44,2008544,2757857,3232664,3349442
2008,45,2957450,3118259,3151746,3427865
2008,46,3620782,3690660,3418913,3385233
2008,47,523870,564033,550073,564184
2008,48,234676,286282,288409,329049
2008,49,3721697,4077004,3880292,4390654
2008,51,1602635,1795517,1659037,1805428
2008,53,852152,1057019,1022958,1384989
2008,55,120806,63594,61961,63609
2008,59,384952,419644,427343,448883
2008,60,1890819,2007163,1999382,2109209
2008,62,92527,116736,118812,125553
2008,63,1203360,1355286,1314209,1547250
2008,70,2251506,2601182,2624579,2709371
2008,72,661782,701247,700107,756887
2008,74,316993,347918,341430,370047
2008,76,1053536,1179031,1205673,1251688
2008,78,79584,86951,83974,92748
2008,79,105989,107151,108072,109307
2008,80,878524,995591,930170,1044758
2008,82,762494,775737,784050,825042
2008,90,911651,972442,1059511,1016769
2008,91,1482722,1635797,1606171,1698662
2008,92,823085,906630,870765,949200
2008,94,628845,722540,673632,758863
2008,95,4915052,4914196,4950854,5054876
2008,96,227211,302090,269740,310907
2008,100,852080,896832,882502,918973
2008,106,116156,9625442,124655,40887954
2008,112,342067,351893,358983,385927
2008,114,81252,81612,81612,85144
2008,116,107352,132287,115099,134284
2008,118,399948,436336,443854,468647
2008,120,13654294,15040411,14917782,16525011
2008,121,15188,13557,15397,16526
2008,122,10871968,11353238,11454210,11913550
2008,136,14873,15216,15634,17886
2008,137,,,28700,63731
2008,138,81854,85417,86720,96604
2008,139,,89934,44607,65423
2008,140,,29124646,29990955,30762021
2008,141,,,888773,498688
2008,142,536894,595274,525731,498406
2008,143,373104,396685,411597,397937
2008,144,113470,123349,220207,345684
2008,147,167865,184560,172080,188737
2008,148,102858,123757,108851,127327
2008,151,118080,131732,132636,160491
2008,152,472791,523923,986902,1180197
2008,155,446567,464046,469895,507943
2008,156,32624936,35799128,35103658,37640728
2008,158,74392,71832,108546,121693
2008,159,176263,190984,185250,221117
2008,160,414660,456081,433008,490757
2008,162,347429,361433,365082,386329
2008,163,135446,230058,240054,352739
2008,166,205471,235108,215071,257280
2008,168,192452,195204,199686,203416
2008,169,4660,11092,10371,11524
2008,170,32453338,34089366,33902595,34424527
2008,173,3587538,3758681,3463313,3649222
2008,174,8612,13446,13986,25791
2008,180,91661,95428,107664,147820
2008,181,440651,490627,429874,454395
2008,184,66400,1616800,1066800,740400
2008,186,862999,947050,919679,1108874
2008,188,305093,322808,298119,331093
2008,190,12189275,11170250,12193122,11926403
2008,194,5067416,5079074,5138467,5139042
2008,,41826,53029,51550,
2008,,848571,729662,199002,
2009,21,77429,79145,81406,84507
2009,22,1458086,897545,1122606,930068
2009,23,59738,63633,64410,70154
2009,24,114522,119263,121397,122364
2009,25,1391110,1432348,1470144,1521318
2009,26,455302,484715,472098,553424
2009,27,72324,80831,82484,82067
2009,28,605238,677479,669536,712824
2009,30,2484866,2539155,2624261,2698592
2009,31,2052986,2308147,2276242,2485416
2009,33,1302260,1431120,1456591,2115033
2009,37,3075435,3344211,3435037,4120690
2009,39,1601314,1638608,1676333,1769653
2009,42,302889,309160,319093,463722
2009,44,3254009,3349442,2552670,3202669
2009,45,3123397,3427865,3549615,3801080
