"帳目的變動情況","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"期初結餘","279938","327557","360659","404720","402786","473774"
"收入","290289","330821","349700","348234","392107","383404"
"開支","242293","299519","306087","340275","320590","358217"
"未計入轉撥款項的盈餘／ (赤字)","47996","31302","43613","7959","71517","25187"
"(轉撥各基金)／從各基金 轉撥的款項淨額","-377","1800","448","-9893","-529","-2130"
"已計入轉撥款項的盈餘／ (赤字)","47619","33102","44061","-1934","70988","23057"
"期末結餘","327557","360659","404720","402786","473774","496831"
