"總目 (編號)","總目","分目 (編號)","分目","2013–14
實際支出
$’000","2014–15
修訂預算
$’000","2015–16
預算
$’000"
"G01","債券基金","100","償還經投標或認購方式所發行債券的款項","7000000","20000000","28000000"
"G01","債券基金","101","在債券轉換投標安排下償還債券的款項","0","846960","800000"
"G01","債券基金","102","在債券互換安排下償還債券的款項","40628","1000000","1000000"
"G01","債券基金","120","支付債券利息","1868805","2218041","2182794"
"G01","債券基金","125","支付另類債券定期派發的回報的款項","0","78195","234585"
"G01","債券基金","130","其他","25971","34435","40283"
