"債券基金","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"期初結餘","28452","52019","75293","100678","119161"
"收入","31385","31541","34320","42661","45369"
"開支","7818","8267","8935","24178","32258"
"盈餘","23567","23274","25385","18483","13111"
"期末結餘","52019","75293","100678","119161","132272"
