"一般收入帳目及基金","二零一五至一六年度預算
期初結餘
百萬元","二零一五至一六年度預算
收入
百萬元","二零一五至一六年度預算
開支
百萬元","二零一五至一六年度預算
各基金之間的轉撥淨額
百萬元","二零一五至一六年度預算
已計入轉撥款項的盈餘／(赤字)
百萬元","二零一五至一六年度預算
期末結餘
百萬元"
"政府一般收入帳目","473774","383404","358217","-2130","23057","496831"
"基本工程儲備基金","72203","74296","75373","0","-1077","71126"
"資本投資基金","1499","1155","18","-1000","137","1636"
"公務員退休金儲備基金","27029","1488","0","100","1588","28617"
"賑災基金","18","2","0","30","32","50"
"創新及科技基金","971","45","1014","0","-969","2"
"土地基金","219730","12085","0","0","12085","231815"
"貸款基金","2626","2520","5286","3000","234","2860"
"獎券基金","21717","2586","919","0","1667","23384"
