"賑災基金收入","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"投資收入","3","2","1","1","0","2"
"退回的賑災撥款","1","7","0","2","2","0"
"捐款","0","0","0","0","0","0"
