"資本投資基金收入","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"償還的貸款","17","18","96","167","91","92"
"來自投資／貸款的股息、利息及其他收入","1236","1269","1307","1367","1426","952"
"投資收入","104","99","79","76","0","111"
