"一般收入帳目及基金","二零一四至一五年度修訂預算
期初結餘
百萬元","二零一四至一五年度修訂預算
收入
百萬元","二零一四至一五年度修訂預算
開支
百萬元","二零一四至一五年度修訂預算
債券及票據償還款項
百萬元","二零一四至一五年度修訂預算
各基金之間的轉撥淨額
百萬元","二零一四至一五年度修訂預算
已計入轉撥款項的盈餘／(赤字)
百萬元","二零一四至一五年度修訂預算
期末結餘
百萬元"
"政府一般收入帳目","402786","392107","320590","0","-529","70988","473774"
"基本工程儲備基金","79773","73382","71264","9688","0","-7570","72203"
"資本投資基金","1994","1517","12","0","-2000","-495","1499"
"公務員退休金儲備基金","27029","0","0","0","0","0","27029"
"賑災基金","31","2","44","0","29","-13","18"
"創新及科技基金","1812","41","882","0","0","-841","971"
"土地基金","219730","0","0","0","0","0","219730"
"貸款基金","1389","2245","3508","0","2500","1237","2626"
"獎券基金","21173","1384","840","0","0","544","21717"
