"獎券基金","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"期初結餘","7855","8428","9329","10228","21173","21717"
"收入","1538","1817","1780","1757","1384","2586"
"開支","965","916","881","812","840","919"
"從政府一般收入帳目轉撥款項前的盈餘","573","901","899","945","544","1667"
"從政府一般收入帳目轉撥的款項","0","0","0","10000","0","0"
"從政府一般收入帳目轉撥款項後的盈餘","573","901","899","10945","544","1667"
"期末結餘","8428","9329","10228","21173","21717","23384"
