"債券基金開支","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"償還經投標或認購方式所發行債券的款項","7000","7000","7000","20000","28000"
"在債券轉換投標安排下償還債券的款項","0","0","0","847","800"
"在債券互換安排下償還債券的款項","0","0","40","1000","1000"
"利息","785","1242","1869","2218","2183"
"支付另類債券定期派發的回報的款項","0","0","0","78","235"
"其他","33","25","26","35","40"
