"貸款基金","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"期初結餘","1671","1922","2250","2186","1389","2626"
"收入","2238","2389","2240","2647","2245","2520"
"開支","1987","2061","2304","4144","3508","5286"
"從政府一般收入帳目轉撥款項前的盈餘／(赤字)","251","328","-64","-1497","-1263","-2766"
"從政府一般收入帳目轉撥款項的淨額","0","0","0","700","2500","3000"
"從政府一般收入帳目轉撥款項後的盈餘／(赤字)","251","328","-64","-797","1237","234"
"期末結餘","1922","2250","2186","1389","2626","2860"
