"土地基金","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"期初結餘","175846","186924","198140","209266","219730","219730"
"收入","11078","11216","11126","10464","0","12085"
"開支","0","0","0","0","0","0"
"盈餘","11078","11216","11126","10464","0","12085"
"期末結餘","186924","198140","209266","219730","219730","231815"
