"公務員退休金儲備基金","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"期初結餘","21631","22994","24373","25742","27029","27029"
"收入","1363","1379","1369","1287","0","1488"
"開支","0","0","0","0","0","0"
"從政府一般收入帳目轉撥款項前的盈餘","1363","1379","1369","1287","0","1488"
"從政府一般收入帳目轉撥的款項","0","0","0","0","0","100"
"從政府一般收入帳目轉撥款項後的盈餘","1363","1379","1369","1287","0","1588"
"期末結餘","22994","24373","25742","27029","27029","28617"
