"資本投資基金開支","","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"投資／貸款","香港科技園公司","1463","0","768","0","0","0"
"投資／貸款","亞洲開發銀行","12","12","11","12","12","18"
