"賑災基金","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"期初結餘","8","35","7","6","31","18"
"收入","4","9","1","3","2","2"
"開支","354","37","54","171","44","0"
"從政府一般收入帳目轉撥款項前的盈餘／(赤字)","-350","-28","-53","-168","-42","2"
"從政府一般收入帳目轉撥的款項","377","0","52","193","29","30"
"從政府一般收入帳目轉撥款項後的盈餘／(赤字)","27","-28","-1","25","-13","32"
"期末結餘","35","7","6","31","18","50"
