"總目 (編號)","總目","分目 (編號)","分目","2013–14
實際收入
$’000","2014–15
修訂預算
$’000","2015–16
預算
$’000"
"G01","債券基金","200","經投標或認購方式所發行債券的所得收入","30094191","29413082","29500000"
"G01","債券基金","201","在債券轉換投標安排下發行債券的收入","0","718773","800000"
"G01","債券基金","202","在債券互換安排下發行債券的收入","40628","1000000","1000000"
"G01","債券基金","210","發行另類債券的所得收入","0","7751100","7800000"
"G01","債券基金","","投資收入","4185338","3778525","6269000"
