"一般收入帳目及8個基金的總額","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"期初結餘","520281","595402","669088","733914","755717","819567"
"收入","376481","437723","442150","455346","470678","477581"
"開支","301360","364037","377324","433543","397140","440827"
"未計入債券及票據償還款項的綜合盈餘","75121","73686","64826","21803","73538","36754"
"二零零四年七月發行的債券及票據的償還款項","0","0","0","0","9688","0"
"已計入債券及票據償還款項的綜合盈餘","75121","73686","64826","21803","63850","36754"
"期末結餘","595402","669088","733914","755717","819567","856321"
