"創新及科技基金收入","實際
2010–11
百萬元","實際
2011–12
百萬元","實際
2012–13
百萬元","實際
2013–14
百萬元","修訂預算
2014–15
百萬元","預算
2015–16
百萬元"
"投資收入","230","190","156","114","1","37"
"從項目所獲得的收入淨額","4","10","9","8","12","8"
"補助金退款","38","40","49","43","28","0"
